UserID,Umur,Gender,Daerah,Kategori
U0001,36,P,Makassar,Film
U0002,78,P,Bogor,Teknologi
U0003,38,P,Balikpapan,Edukasi
U0004,23,L,Bandung,Travel
U0005,54,P,Batam,Olahraga
U0006,46,L,Tangerang,Kuliner
U0007,68,L,Denpasar,Travel
U0008,24,L,Palembang,Kuliner
U0009,36,L,Semarang,Film
U0010,66,P,Jakarta,Film
U0011,42,L,Surabaya,Fashion
U0012,17,P,Tangerang,Edukasi
U0013,65,P,Bogor,Teknologi
U0014,44,L,Medan,Teknologi
U0015,27,P,Depok,Film
U0016,54,P,Tangerang,Musik
U0017,77,L,Manado,Edukasi
U0018,38,L,Pontianak,Film
U0019,64,P,Yogyakarta,Game
U0020,30,P,Padang,Film
U0021,53,P,Denpasar,Game
U0022,42,P,Yogyakarta,Kuliner
U0023,75,P,Batam,Edukasi
U0024,21,L,Batam,Olahraga
U0025,74,P,Makassar,Kuliner
U0026,66,L,Palembang,Film
U0027,70,L,Batam,Otomotif
U0028,61,P,Makassar,Travel
U0029,18,P,Makassar,Olahraga
U0030,18,P,Jakarta,Olahraga
U0031,69,P,Depok,Travel
U0032,39,L,Samarinda,Olahraga
U0033,71,L,Batam,Olahraga
U0034,25,L,Medan,Edukasi
U0035,41,P,Pontianak,Travel
U0036,55,P,Semarang,Teknologi
U0037,24,P,Palembang,Fashion
U0038,66,P,Bandung,Travel
U0039,35,L,Pontianak,Fashion
U0040,59,L,Jakarta,Otomotif
U0041,18,L,Balikpapan,Fashion
U0042,59,P,Manado,Teknologi
U0043,36,L,Makassar,Travel
U0044,27,P,Semarang,Travel
U0045,74,L,Tangerang,Game
U0046,47,L,Semarang,Fashion
U0047,22,L,Batam,Film
U0048,21,L,Pontianak,Otomotif
U0049,65,P,Depok,Kuliner
U0050,32,L,Depok,Otomotif
U0051,48,P,Denpasar,Edukasi
U0052,33,L,Semarang,Teknologi
U0053,60,L,Denpasar,Kuliner
U0054,24,L,Batam,Otomotif
U0055,33,P,Manado,Musik
U0056,55,P,Balikpapan,Kuliner
U0057,30,P,Semarang,Game
U0058,68,P,Palembang,Teknologi
U0059,23,L,Malang,Edukasi
U0060,74,P,Medan,Kuliner
U0061,55,L,Tangerang,Fashion
U0062,76,L,Samarinda,Film
U0063,80,P,Bekasi,Teknologi
U0064,45,P,Bekasi,Otomotif
U0065,74,P,Batam,Travel
U0066,58,P,Palembang,Otomotif
U0067,32,L,Depok,Edukasi
U0068,75,L,Makassar,Olahraga
U0069,25,L,Bandung,Otomotif
U0070,45,L,Manado,Game
U0071,78,L,Bandung,Otomotif
U0072,21,L,Tangerang,Travel
U0073,61,P,Denpasar,Travel
U0074,45,P,Samarinda,Game
U0075,51,P,Depok,Otomotif
U0076,60,P,Pontianak,Musik
U0077,66,L,Malang,Otomotif
U0078,39,L,Makassar,Edukasi
U0079,54,L,Samarinda,Olahraga
U0080,67,P,Palembang,Olahraga
U0081,16,L,Bandung,Game
U0082,69,L,Surabaya,Travel
U0083,71,L,Manado,Otomotif
U0084,53,P,Bekasi,Kuliner
